IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  WILLIAMJUNIOR, -, 2026-03-24 05:45:23.786000, LOGIN, 10.117.113.3, 10.117.113.3
  BRUNOROBERTO, -, 2026-03-24 05:48:55.689000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SAVIOPINTO, -, 2026-03-24 05:51:25.298000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LEONARDOCHARMON, -, 2026-03-24 05:52:13.093000, LOGIN, 10.117.113.5, 10.117.113.5
  WILLIAMJUNIOR, -, 2026-03-24 05:55:26.096000, LOGIN, 10.117.113.3, 10.117.113.3
  JONATAPINHEIRO, -, 2026-03-24 05:57:14.863000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 05:58:53.013000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  VICTORBRASIL, -, 2026-03-24 05:58:59.754000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LEONARDOPIO, -, 2026-03-24 05:59:07.626000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MARCELINOFILHO, -, 2026-03-24 05:59:19.215000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ELIELRODRIGUES, -, 2026-03-24 06:00:10.007000, LOGIN, 10.117.113.5, 10.117.113.5
  CARLOSLISBOA, -, 2026-03-24 06:01:19.224000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ALANSILVA, -, 2026-03-24 06:03:04.125000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SERGIOSILVA, -, 2026-03-24 06:04:13.418000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WENDELCARDOSO, -, 2026-03-24 06:05:28.639000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZSANTOSS, -, 2026-03-24 06:06:00.927000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  EDUARDOJUNIOR, -, 2026-03-24 06:06:11.431000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WASHINGTONSILVA, -, 2026-03-24 06:07:03.048000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LEONARDOPIO, -, 2026-03-24 06:07:10.007000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZRAFAEL, -, 2026-03-24 06:16:45.566000, LOGIN, 10.117.113.8, 10.117.113.8
  SAVIOPINTO, -, 2026-03-24 06:19:58.010000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MARCELOGALLO, -, 2026-03-24 06:20:22.248000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SEVERINOSILVA, -, 2026-03-24 06:21:43.345000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WILLIAMPINHEIRO, -, 2026-03-24 06:30:40.190000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFELIPE, -, 2026-03-24 06:35:39.752000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOROBERTO, -, 2026-03-24 06:36:12.939000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  CARLOSVIEIRA, -, 2026-03-24 06:37:40.904000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  GERMANMONDRAGON, -, 2026-03-24 06:39:11.300000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 06:43:11.321000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 06:43:44.028000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ITEAM, -, 2026-03-24 06:47:35.034000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFELIPE, -, 2026-03-24 06:48:39.040000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 06:48:56.701000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ROBERTOFURTADO, -, 2026-03-24 06:54:50.313000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SEVERINOSILVA, -, 2026-03-24 06:58:10.106000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  VICTORBRASIL, -, 2026-03-24 07:01:38.279000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  EDUARDOJUNIOR, -, 2026-03-24 07:01:48.630000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
