IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  LEONARDORIBEIRO, -, 2026-03-25 06:19:38.600000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  DAYANESOUZA, -, 2026-03-25 06:21:53.280000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LEANDROSANTOS, -, 2026-03-25 06:25:02.604000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JEFERSONNASCIMENTO, -, 2026-03-25 06:27:13.736000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  AUGUSTOAMORIM, -, 2026-03-25 06:31:44.282000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FELIPERAMOS, -, 2026-03-25 06:32:17.068000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ADRIANOFREITAS, -, 2026-03-25 06:34:21.484000, LOGIN, 10.117.183.10, 10.117.183.10
  RSBARRETO, -, 2026-03-25 06:35:11.815000, LOGIN, 10.117.183.11, 10.117.183.11
  DAVIDMEDINA, -, 2026-03-25 06:38:44.120000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 06:39:14.614000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RICARDOVIEIRA, -, 2026-03-25 06:39:28.319000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ADRIANOFREITAS, -, 2026-03-25 06:40:15.753000, LOGIN, 10.117.183.11, 10.117.183.11
  ALEXSANDROHENRIQUE, -, 2026-03-25 06:43:30.139000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALBERTOCABRAL_TER, -, 2026-03-25 06:46:44.551000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MARCOSILVA, -, 2026-03-25 06:47:49.315000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ITEAM, -, 2026-03-25 06:48:46.749000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  IAGOHENRIQUES, -, 2026-03-25 06:52:24.327000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 06:55:03.910000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  BRUNOMARINS, -, 2026-03-25 06:59:27.497000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SERGIOMATOS, -, 2026-03-25 06:59:49.493000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 07:00:29.630000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SERGIOMATOS, -, 2026-03-25 07:01:18.868000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SERGIOMATOS, -, 2026-03-25 07:06:21.586000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RAFAELDEALMEIDA, -, 2026-03-25 07:07:04.263000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CLAUDIONORSANTOS, -, 2026-03-25 07:07:21.832000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  PEDROVIEIRA, -, 2026-03-25 07:09:35.556000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 07:16:14.976000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FLAVIOPEREIRA, -, 2026-03-25 07:17:45.474000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SERGIOMATOS, -, 2026-03-25 07:19:29.368000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FELIPERAMOS, -, 2026-03-25 07:23:55.505000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALEXANDREZEFERINO, -, 2026-03-25 07:23:57.598000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MATHEUSMALTA, -, 2026-03-25 07:28:25.964000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  WAGNERWYATT, -, 2026-03-25 07:37:53.363000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UELITONJUNIOR, -, 2026-03-25 07:44:12.694000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JVFERREIRA, -, 2026-03-25 07:45:02.637000, LOGIN, 10.117.183.11, 10.117.183.11
  DAVIDMEDINA, -, 2026-03-25 07:45:22.608000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CASSIOPOLI, -, 2026-03-25 07:48:39.509000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MANTONIO, -, 2026-03-25 07:52:09.848000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JEFERSONNASCIMENTO, -, 2026-03-25 07:57:50.717000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UELITONJUNIOR, -, 2026-03-25 07:57:50.973000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RAFAELDEALMEIDA, -, 2026-03-25 07:58:08.631000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ITEAM, -, 2026-03-25 08:03:45.766000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALEXSANDROHENRIQUE, -, 2026-03-25 08:08:59.857000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UELITONJUNIOR, -, 2026-03-25 08:13:47.571000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CAIOLEANDRO, -, 2026-03-25 08:15:05.578000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  VITORBERAL, -, 2026-03-25 08:16:45.940000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JVFERREIRA, -, 2026-03-25 08:18:36.642000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
