IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  DAVIDMELLO, -, 2026-03-24 00:29:51.361000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DANIELLOPES, -, 2026-03-24 00:32:47.209000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DOLGLASFERREIRA, -, 2026-03-24 00:48:18.663000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DAVIDMELLO, -, 2026-03-24 00:52:07.990000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DOLGLASFERREIRA, -, 2026-03-24 00:54:30.524000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  SOCRATESREIS, -, 2026-03-24 00:55:46.788000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  TIAGOAGUIAR, -, 2026-03-24 01:18:30.812000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  BRUNORANGEL, -, 2026-03-24 01:34:30.711000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  MACKSONSILVA, -, 2026-03-24 01:35:27.852000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PAULODIAS, -, 2026-03-24 01:45:27.977000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  GABRIELCEH, -, 2026-03-24 02:14:17.001000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DANIELLOPES, -, 2026-03-24 02:30:02.106000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PAULODIAS, -, 2026-03-24 02:32:21.541000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PEDROCOTTING, -, 2026-03-24 02:36:32.934000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PEDROCOTTING, -, 2026-03-24 02:37:47.950000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DAVIDMELLO, -, 2026-03-24 04:43:23.761000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  EDILSONEDGARDO, -, 2026-03-24 04:59:26.911000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  VINICIUSTEIXEIRA, -, 2026-03-24 05:23:37.689000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  BRUNORANGEL, -, 2026-03-24 05:35:08.150000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PAULODIAS, -, 2026-03-24 05:40:01.266000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PEDROCOTTING, -, 2026-03-24 05:41:27.920000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DANIELLOPES, -, 2026-03-24 05:41:55.302000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  WAGNERRODRIGUES, -, 2026-03-24 05:46:03.735000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DAVIDMELLO, -, 2026-03-24 05:48:38.121000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  RODRIGOCOVA, -, 2026-03-24 05:50:38.030000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  CAIOKOSKI, -, 2026-03-24 05:55:08.098000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  FABRICIOPEREIRA, -, 2026-03-24 05:56:49.619000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  MARIOVASCONCELOS, -, 2026-03-24 06:04:53.126000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  CAIOKOSKI, -, 2026-03-24 06:04:57.651000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  ALINEOLIVEIRA, -, 2026-03-24 06:12:14.303000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  DAVIDMELLO, -, 2026-03-24 06:16:44.964000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  EDILSONEDGARDO, -, 2026-03-24 06:17:21.932000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  BRENNOGUIMARAES, -, 2026-03-24 06:17:47.670000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  TIAGOAGUIAR, -, 2026-03-24 06:18:18.252000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  FERNANDOARAUJO, -, 2026-03-24 06:22:05.050000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  CLELSONSOARES, -, 2026-03-24 06:28:06.313000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PAULOERNANI, -, 2026-03-24 06:28:28.586000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  MARCELAZEVEDO, -, 2026-03-24 06:31:15.306000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  LEONARDOSIQUEIRA, -, 2026-03-24 06:38:39.551000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  ANGELOSILVA, -, 2026-03-24 06:41:57.111000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  TIAGOBITTENCOURT, -, 2026-03-24 06:42:12.669000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  ROGERIOARAUJO, -, 2026-03-24 06:43:37.083000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
  PAULOERNANI, -, 2026-03-24 06:45:30.408000, LOGIN, odrl-n09-sv013.foresea.com, 10.120.149.45
