IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  ALESSANDROSOUZA, O&G_LIMITED, 0, 0, 0
  ANABARCELOS, O&G_LIMITED, 0, 0, 0
  HERBSONSANTOS, O&G_LIMITED, 0, 0, 0
  EDUARDOGADELHA, O&G_LIMITED, 0, 0, 0
  NICOLESILVEIRA, O&G_AUTHORIZED, 0, 0, 0
  DIEGOOTAVIO, O&G_LIMITED, 0, 0, 0
  ADEMIRSATHLER, O&G_LIMITED, 0, 0, 0
  LUCIANOJUNIOR, O&G_AUTHORIZED, 0, 0, 0
  EMERSONBASTOS, O&G_LIMITED, 0, 0, 0
  IARLENKLEIN, O&G_LIMITED, 0, 0, 0
  MAUROCUNHA, O&G_AUTHORIZED, 0, 0, 0
  LEONARDOILVA, O&G_LIMITED, 0, 0, 0
  ANDRERODRIGUES, O&G_LIMITED, 0, 0, 0
  LUIZMOREIRA, -, 0, 1, 0
  DANILODELIMA, -, 0, 1, 0
  MOISESSELLOS, -, 0, 1, 0
  LUIZCSANTOS, -, 0, 1, 1
  CLAUDIOFARIAS, -, 0, 1, 0
  MURILOBRAZ, -, 0, 1, 0
  CHARLESPEREIRA, -, 0, 1, 0
  WILLIANSILVA, -, 0, 1, 0
  LUIZGOMES, -, 0, 1, 0
  JAMESREGAN, -, 0, 1, 0
  JONATHABARBOSA, -, 0, 1, 0
  RENATAANDRADE, -, 0, 1, 0
  ANTONIOFILHO, -, 0, 1, 0
  DIEGOESMITE, -, 0, 1, 0
  AUGUSTOBRITO, -, 0, 1, 0
  FLAVIOFIALHO, -, 0, 1, 0
  OSMAELROZARIO, -, 0, 1, 0
  ROBERTATOSTES, -, 0, 1, 0
  WALDENIRFIGUEIRA, -, 0, 1, 0
  CARLOSSANTOS, -, 0, 1, 0
  MATEUSSANTOS, -, 0, 1, 0
  ADEMIRSATHLER, -, 0, 1, 0
  SONIACOSTA, -, 0, 1, 0
  IARLENKLEIN, -, 0, 1, 0
  LEONARDOILVA, -, 0, 1, 0
  ANDRERODRIGUES, -, 0, 1, 0
  VICTORIASILVA, -, 0, 1, 0
  ALESSANDROSOUZA, -, 0, 1, 0
  VINICIUSERVATI, -, 0, 1, 0
  LEANDROFMEDEIROS, -, 0, 1, 0
  LUCIANOJUNIOR, -, 0, 1, 0
  JOSESANTOS, -, 0, 1, 0
  LEANDROVENANCIO, -, 0, 1, 0
  CHRISTIANALCANTARA, -, 0, 1, 0
  HENRIQUEPEREIRA, -, 0, 1, 0
  ANGELOSILVA, -, 0, 1, 0
  DAVIDJUNGES, -, 0, 1, 1
  VICTORSIQUEIRA, -, 0, 1, 0
  ANDRESILVA, -, 0, 1, 0
  GILSONCOELHO, -, 0, 1, 0
  BRUNOCOSTA, -, 0, 1, 0
  EDSONRAFAEL, -, 0, 1, 0
  ERNANDESPEREIR, -, 0, 1, 0
  LUCIANORIBEIRO, -, 0, 1, 0
  NICOLESILVEIRA, -, 0, 1, 0
  HELIOCJUNIOR, -, 0, 1, 0
  FABIOPIRES, O&G_AUTHORIZED, 0, 0, 0
  IONELDARIE, O&G_LIMITED, 0, 0, 0
  ADILSONCABRAL, O&G_LIMITED, 0, 0, 0
  JAYAKUMARNAIR, O&G_LIMITED, 0, 0, 0
  SANJINTOMIC, O&G_LIMITED, 0, 0, 0
  MAXIMOLEITE, O&G_LIMITED, 0, 0, 0
  RAFAELMAIA, O&G_LIMITED, 0, 0, 0
  GERALDOCABECEIRAS, O&G_LIMITED, 0, 0, 0
  BRUNOMACHADO, O&G_LIMITED, 0, 0, 0
  WESLLEYSILVA, O&G_LIMITED, 0, 0, 0
  HELPDESK, O&G_LIMITED, 0, 0, 0
  CIDCOSTA, O&G_AUTHORIZED, 0, 0, 0
  ANTONIOGALVAO, O&G_LIMITED, 0, 0, 0
  DAVIPERALVA, O&G_AUTHORIZED, 0, 0, 0
  JULINECAETANO, -, 0, 1, 0
  AGATHAALVARENGA, O&G_AUTHORIZED, 0, 0, 0
  DANIELGONCALVES, O&G_LIMITED, 0, 0, 0
  BRUNOZULLO, O&G_LIMITED, 0, 0, 0
  CINTIAFANTINATTI, O&G_LIMITED, 0, 0, 0
  MARCOSFILHO, O&G_AUTHORIZED, 0, 0, 0
  MAXADOOG, -, 0, 1, 0
  NEYDINIZ, O&G_LIMITED, 0, 0, 0
  HELCIOYASSUO, O&G_LIMITED, 0, 0, 0
  TESTE, O&G_LIMITED, 0, 0, 0
  NICHOLASGOUVEIA, O&G_LIMITED, 0, 0, 0
  USERTESTE3, O&G_AUTHORIZED, 0, 0, 0
  RODRIGOCUSANDEI, O&G_LIMITED, 0, 0, 0
  IRAPOANCARVALHO, O&G_AUTHORIZED, 0, 0, 0
  RODRIGOVELLASCO, O&G_AUTHORIZED, 0, 0, 0
  RODRIGOPUGAS, O&G_LIMITED, 0, 0, 0
  FABBIOLEITE, O&G_AUTHORIZED, 0, 0, 0
  ALANBARROSO, O&G_LIMITED, 0, 0, 0
  MARCINKAMINSKI, O&G_LIMITED, 0, 0, 0
  LUCIANOCAMARA, O&G_AUTHORIZED, 0, 0, 0
  LUANCARD, O&G_AUTHORIZED, 0, 0, 0
  SOCRATESREIS, O&G_AUTHORIZED, 0, 0, 0
  THAISSAMPAIO, O&G_LIMITED, 0, 0, 0
