IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  FABIOMURTEIRA, O&G_LIMITED, 0, 0, 0
  MILENANASCIMENTO, O&G_LIMITED, 0, 0, 0
  BERNARDOSAMPAIO, O&G_LIMITED, 0, 0, 0
  ALEXANDRERIBEIRO, O&G_AUTHORIZED, 0, 0, 0
  NATALIALOPES, O&G_LIMITED, 0, 0, 0
  FABIOFIGUEIRA, O&G_LIMITED, 0, 0, 0
  LIDIABRITO, O&G_AUTHORIZED, 0, 0, 0
  CAMILAFREITAS, O&G_LIMITED, 0, 0, 0
  CESARCRUZ, O&G_AUTHORIZED, 0, 0, 0
  RODRIGOACARDOSO, -, 0, 1, 0
  VINICIUSCORREA, -, 0, 1, 0
  GUILHERMEMOTA, -, 0, 1, 0
  ANTONIOMAFORT, -, 0, 1, 0
  RAPHAELBARBOSA, -, 0, 1, 0
  WAGNERBRANDAO, -, 0, 1, 0
  CHARLESPEREIRA, -, 0, 1, 0
  GEORGESCHUENG, -, 0, 1, 0
  ALEXANDRERIBEIRO, -, 0, 1, 0
  MARIAFREITAS, -, 0, 1, 0
  FABRIZIOSOBRINHO, -, 0, 1, 0
  WENDELLLINHARES, O&G_LIMITED, 0, 0, 0
  JOAOCOSTA, O&G_LIMITED, 0, 0, 0
  ANDRESILVA, -, 0, 1, 0
  SORAYAMARTINS, -, 0, 1, 0
  LEANDROBOTELHO, O&G_AUTHORIZED, 0, 0, 0
  ASANTANA, -, 0, 1, 0
  EDWINVILLAGARAY, -, 0, 1, 0
  DIEGOAGUIAR, O&G_LIMITED, 0, 0, 0
  JOSETIAGO, -, 0, 1, 0
  ELAINESILVA, O&G_LIMITED, 0, 0, 0
  NICHOLASALMEIDA, -, 0, 1, 0
  DOMINIQUEGASPAR, -, 0, 1, 0
  ALEXSILVA, O&G_LIMITED, 0, 0, 0
  OLIVIAJULIANELLI, -, 0, 1, 0
  FLAMARIONBRAGA, -, 0, 1, 0
  MATHEUSVINICIUS, -, 0, 1, 0
  ERICALISBOA, -, 0, 1, 0
  RONALDOFERREIRA, -, 0, 1, 0
  ANDRESSASILVA, -, 0, 1, 0
  ELLENSANTOS, -, 0, 1, 0
  LARAFIGUEIRO, -, 0, 1, 0
  LUISACALDERON, O&G_LIMITED, 0, 0, 0
  TIAGOFREITAS, O&G_LIMITED, 0, 0, 0
  ALEXANDREANDRADE, -, 0, 1, 0
  MARINASIMAO, -, 0, 1, 0
  VINICIUSGRAZZIOTTI, O&G_AUTHORIZED, 0, 0, 0
  LIVIAROSW, -, 0, 1, 0
  VICTORRAMALHO, O&G_LIMITED, 0, 0, 0
  GABRIELBOTELHO, -, 0, 1, 0
  PATRICKJOSE, -, 0, 1, 0
  PRISCILASOUZA, -, 0, 1, 0
  GUILHERMECOUTO, O&G_LIMITED, 0, 0, 0
  THIJSVISSER, O&G_LIMITED, 0, 0, 0
  JOSRSILVA, O&G_AUTHORIZED, 0, 0, 0
  BRUNOVIANA, O&G_LIMITED, 0, 0, 0
  RODRIGOBARILLI, O&G_AUTHORIZED, 0, 0, 0
  FABIOFIGUEIRA, O&G_AUTHORIZED, 0, 0, 0
  CIDCOSTA, O&G_AUTHORIZED, 0, 0, 0
  SONIA_TESTE, O&G_LIMITED, 0, 0, 0
  CLEOMARCECCON, O&G_LIMITED, 0, 0, 0
  VCARVALHO, O&G_AUTHORIZED, 0, 0, 0
  ADEMIRJUNIOR, O&G_AUTHORIZED, 0, 0, 0
  STEPHENWENTWORTH, O&G_LIMITED, 0, 0, 0
  JULINECAETANO, -, 0, 1, 0
  RODRIGOGOES, O&G_LIMITED, 0, 0, 0
  VANESSAPESSANHA, O&G_LIMITED, 0, 0, 0
  BRENNOGUIMARAES, O&G_AUTHORIZED, 0, 0, 0
  JANMACHOWSKI, O&G_AUTHORIZED, 0, 0, 0
  RICARDOPRIOLI, O&G_LIMITED, 0, 0, 0
  SIMONEALVES, O&G_LIMITED, 0, 0, 0
  BCORDEBEL, O&G_AUTHORIZED, 0, 0, 0
  RODRIGOACARDOSO, O&G_LIMITED, 0, 0, 0
  MARCIOMAGALHAES, O&G_LIMITED, 0, 0, 0
  SONIACOSTA, O&G_LIMITED, 0, 0, 0
  GRAZIONEMELLO, O&G_LIMITED, 0, 0, 0
  PEDROFELICE, O&G_AUTHORIZED, 0, 0, 0
  VICTORSIQUEIRA, O&G_LIMITED, 0, 0, 0
  DIEGOESMITE, O&G_AUTHORIZED, 0, 0, 0
  VICTORCOSTA, O&G_LIMITED, 0, 0, 0
  PEDROGUARILHA, O&G_AUTHORIZED, 0, 0, 0
  THAISSAMPAIO, O&G_LIMITED, 0, 0, 0
  CAROLINACARVALHO, O&G_LIMITED, 0, 0, 0
  ALINEAMANCIO, O&G_LIMITED, 0, 0, 0
  ANDRESSA, O&G_AUTHORIZED, 0, 0, 0
  STEPHANYCOSTA, O&G_LIMITED, 0, 0, 0
  TARIKAMARO, -, 0, 1, 0
  HIGORSOUSA, -, 0, 1, 0
  LIVIAROSW, -, 0, 1, 0
  HASSLERLEAL, -, 0, 1, 0
  PEDROVINICIUS, -, 0, 1, 0
  KAIANLIMA, O&G_LIMITED, 0, 0, 0
  JOSEHALMEIDA, O&G_LIMITED, 0, 0, 0
  JANDERSONSILVA, O&G_LIMITED, 0, 0, 0
  VANDERLEYJUNIOR, O&G_LIMITED, 0, 0, 0
  CLAUDIOFARIAS, -, 0, 1, 0
  RAFAELMARCHIORI, O&G_LIMITED, 0, 0, 0
  WILSONJUNIOR, -, 0, 1, 0
  ERICABARCELOS, -, 0, 1, 0
  ITEAM2, -, 0, 1, 0
  JANDERSONSILVA, O&G_LIMITED, 0, 0, 0
  PEDROVINICIUS, -, 0, 1, 0
  OLIVIAJULIANELLI, O&G_LIMITED, 0, 0, 0
  THIAGOTINOCO, O&G_LIMITED, 0, 0, 0
  SORAYARANGEL, O&G_LIMITED, 0, 0, 0
  VANESSASANTOS, O&G_LIMITED, 0, 0, 0
  ALESSANDROPASINI, -, 0, 1, 0
  EMMANUELJUNIOR, O&G_LIMITED, 0, 0, 0
  PALOMAFERREIRA, -, 0, 1, 0
  STWARTSILVA, O&G_LIMITED, 0, 0, 0
  AYRTONSILVA, -, 0, 1, 0
  LIVIAROSW, -, 0, 1, 0
  ALEXANDREPECANHA, O&G_LIMITED, 0, 0, 0
  PALOMABASTOS, -, 0, 1, 0
  ARENOMOSQUEIRA, -, 0, 1, 0
  PATRICIACAMACHO, O&G_LIMITED, 0, 0, 0
  MARIONICOLI, -, 0, 1, 0
  LUCASPINHEIRO, -, 0, 1, 0
  ERICKASILVA, -, 0, 1, 0
  JOAORSILVA, -, 0, 1, 0
  MARIONICOLI, -, 0, 1, 0
  USERTESTE, -, 0, 1, 0
  ESDRASSELLOS, -, 0, 1, 0
  MATEUSLUIZ, -, 0, 1, 0
  JOSETIAGO, -, 0, 1, 0
  JACSONH, -, 0, 1, 1
  ERICALISBOA, -, 0, 1, 0
  LUCASBARCELOS, -, 0, 1, 0
  G.ESTEVES, -, 0, 1, 0
  CHRISTIANSOUZA, -, 0, 1, 0
  DIEGOAGUIAR, -, 0, 1, 0
  WENDELCARVALHO, -, 0, 1, 0
  SERGIOSAPUCAIA, O&G_LIMITED, 0, 0, 0
  NACIBHADDAD, -, 0, 1, 0
  KARINYMIRANDA, O&G_LIMITED, 0, 0, 0
  LOURENCOMORUCCI, O&G_AUTHORIZED, 0, 0, 0
  AUGUSTOBRITO, O&G_AUTHORIZED, 0, 0, 0
  CARLOSJUNIOR, O&G_AUTHORIZED, 0, 0, 0
  IARLENKLEIN, O&G_AUTHORIZED, 0, 0, 0
  BRUNOCOSTA, O&G_AUTHORIZED, 0, 0, 0
  VANESSALESSA, O&G_AUTHORIZED, 0, 0, 0
  BRENNOGUIMARAES, O&G_LIMITED, 0, 0, 0
  MARLONROBIM, O&G_AUTHORIZED, 0, 0, 0
  SIMONEALVES, O&G_AUTHORIZED, 0, 0, 0
  PATRICIADANTAS, O&G_AUTHORIZED, 0, 0, 0
  CRISTIANOXAVIER, O&G_AUTHORIZED, 0, 0, 0
  RUANNSILVA, O&G_AUTHORIZED, 0, 0, 0
  THAISSAMPAIO, O&G_AUTHORIZED, 0, 0, 0
  EUGENIOCAICEDO, O&G_AUTHORIZED, 0, 0, 0
  MARCELODIAS, O&G_AUTHORIZED, 0, 0, 0
  KAIANLIMA, O&G_AUTHORIZED, 0, 0, 0
  JUVENALCHAVES, O&G_AUTHORIZED, 0, 0, 0
  HERALDORIBEIRO, -, 0, 1, 0
  RAFAELAUAD, -, 0, 1, 0
  PATRICKFERREIRA, -, 0, 1, 0
  LARAALVES, -, 0, 1, 0
  WAGNERAZEVEDO, -, 0, 1, 0
  MARCELPITTA, -, 0, 1, 0
  FABRICIOABREU, -, 0, 1, 0
  WILLIANCOUTINHO, -, 0, 1, 0
  VANIASANTOS, -, 0, 1, 0
  VANDERLEYJUNIOR, -, 0, 1, 0
  RACKSONGUEVARA, -, 0, 1, 0
  CARLOSALVARENGA, -, 0, 1, 0
  VICTOROLIVEIRA, -, 0, 1, 0
  WANDERLANSANTO, -, 0, 1, 0
  PRISCILASILVA, -, 0, 1, 0
  FABRICIOSARDINHA, O&G_LIMITED, 0, 0, 0
  AGATHAALVARENGA, -, 0, 1, 0
  BRUNOLUIZ, -, 0, 1, 0
  RSILVA, -, 0, 1, 0
  VICTOROLIVEIRA, -, 0, 1, 0
  LENIELJUNIOR, -, 0, 1, 0
  RAPHAELCOUTO, O&G_LIMITED, 0, 0, 0
  ALEXANDREPECANHA, O&G_LIMITED, 0, 0, 0
  ALECURY, -, 0, 1, 0
  PALOMAFERREIRA, -, 0, 1, 0
  ALLANMARQUES, -, 0, 1, 0
  TIAGOFREITAS, O&G_LIMITED, 0, 0, 0
  JOSETIAGO, -, 0, 1, 0
  FERNANDAJARDIM, -, 0, 1, 0
  MARIATOSTES, -, 0, 1, 0
  ASANTANA, -, 0, 1, 0
  ALEXSILVA, O&G_LIMITED, 0, 0, 0
  ASANTANA, -, 0, 1, 0
  BRUNOMOALLEM, -, 0, 1, 0
  TIAGOHONORATO, -, 0, 1, 0
  SERGIOSILVA, -, 0, 1, 0
  FABIOMOREIRA, -, 0, 1, 0
  RENATAPEREIRA, -, 0, 1, 0
  VICTORSIQUEIRA, -, 0, 1, 0
  MARIONICOLI, -, 0, 1, 0
  CHADCOVERLY, -, 0, 1, 0
  MICHIELDENHOLLANDER, -, 0, 1, 0
  WILSIANEMORTE, -, 0, 1, 0
  PATRICKJOSE, -, 0, 1, 0
  DOUGLASVIEIRA, -, 0, 1, 0
  RICARDOCASTRO, -, 0, 1, 0
  DOGONCALVES, -, 0, 1, 0
  MAZENELNAWASRA, -, 0, 1, 0
  LARAKLEM, O&G_LIMITED, 0, 0, 0
  DARIUARRUDA, -, 0, 1, 0
  PAULOMARTINS, -, 0, 1, 0
  MARCIOPACHECO, -, 0, 1, 0
  FABIANAALVES, -, 0, 1, 0
  CARLOSASANTOS, -, 0, 1, 0
  ALESSANDROCORREA, -, 0, 1, 0
  BRUNOPEDROSA, -, 0, 1, 0
  FERNANDABATISTA, -, 0, 1, 0
  ALEXSALDANHA, -, 0, 1, 0
  YURISOUZA, -, 0, 1, 0
  JEFFERSONMORAIS, -, 0, 1, 0
  LUCASVICENTE, -, 0, 1, 0
  DAVIDARANTES, -, 0, 1, 0
  ROBERTATOSTES, -, 0, 1, 0
  LUCASIGNACIO, -, 0, 1, 0
  FABBIOLEITE, -, 0, 1, 0
  JOAOPINHEIRO, -, 0, 1, 0
