IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  EDERREZENDE, O&G_LIMITED, 0, 0, 0
  RODRIGOCHAMUSCA, O&G_LIMITED, 0, 0, 0
  FLAVIOFONSECA, O&G_LIMITED, 0, 0, 0
  EDMILSONMACHADO, O&G_LIMITED, 0, 0, 0
  FERNANDOHOLANDA, O&G_AUTHORIZED, 0, 0, 0
  EDILSONVIANA, O&G_AUTHORIZED, 0, 0, 0
  ALESSANDROOUTEIRO, O&G_LIMITED, 0, 0, 0
  JOSEROQUE, O&G_LIMITED, 0, 0, 0
  FABIOFIGUEIRA, O&G_AUTHORIZED, 0, 0, 0
  ALESSANDROPINTO, O&G_LIMITED, 0, 0, 0
  CLEVERSONALMEIDA, O&G_LIMITED, 0, 0, 0
  EDERFERNANDES, O&G_LIMITED, 0, 0, 0
  KASTOLPHO, O&G_AUTHORIZED, 0, 0, 0
  LEANDROSILVA, O&G_LIMITED, 0, 0, 0
  ANDRZEJNIEWINSKI, O&G_LIMITED, 0, 0, 0
  JONATASCOSTA, O&G_LIMITED, 0, 0, 0
  ALESSANDROCORREA, O&G_LIMITED, 0, 0, 0
  ANDERSONRODRIGUES, O&G_AUTHORIZED, 0, 0, 0
  JACEKCZARNECKI, O&G_LIMITED, 0, 0, 0
  EDIVALDOSANTANA, O&G_LIMITED, 0, 0, 0
  FELIPEPAIXAO, O&G_LIMITED, 0, 0, 0
  HELPDESK, O&G_LIMITED, 0, 0, 0
  FREDERICOMORAES, O&G_LIMITED, 0, 0, 0
  MAXADMIN, -, 0, 1, 1
  MXINTADM, -, 0, 1, 0
  MAXREG, -, 1, 0, 0
