IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  JULIMARANDRADE, -, 2026-03-27 00:23:40.749000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  WESLEYALVES, -, 2026-03-27 00:32:45.959000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  TONIANGELO, -, 2026-03-27 00:40:03.027000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  VINICIUSRAMOS, -, 2026-03-27 00:45:01.167000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  NAYARASANTOS, -, 2026-03-27 00:46:13.586000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  LUCASANGELIM, -, 2026-03-27 01:00:36.798000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  WILLIANCANDIDO, -, 2026-03-27 01:18:34.933000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  HELTONTAVARES, -, 2026-03-27 01:25:23.881000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  NAYARASANTOS, -, 2026-03-27 01:39:03.050000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  VICTORSIQUEIRA, -, 2026-03-27 01:48:25.901000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  IREKCERANKA, -, 2026-03-27 02:02:51.691000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  WESLEYALVES, -, 2026-03-27 02:04:18.264000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  LUCASANGELIM, -, 2026-03-27 02:23:02.184000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  VICTORSIQUEIRA, -, 2026-03-27 02:23:37.219000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  JEANARAUJO, -, 2026-03-27 03:07:00.158000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  JULIMARANDRADE, -, 2026-03-27 03:24:23.314000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  FRANCISCOJUNIOR, -, 2026-03-27 03:25:26.220000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  ADEMIRNORBERTO, -, 2026-03-27 03:57:11.967000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  WILLIANCANDIDO, -, 2026-03-27 04:01:51.957000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  ALESSANDROSILVA, -, 2026-03-27 04:27:55.597000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  JULIMARANDRADE, -, 2026-03-27 04:33:15.415000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  WILLIANCANDIDO, -, 2026-03-27 04:42:33.464000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  VINICIUSRAMOS, -, 2026-03-27 04:51:55.980000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  RODRIGOMENDES, -, 2026-03-27 04:59:06.642000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  TONIANGELO, -, 2026-03-27 05:12:38.713000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  MARCELOGSILVA, -, 2026-03-27 05:21:46.293000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  SERGEVROLIJK, -, 2026-03-27 05:29:05.831000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  VICTORSIQUEIRA, -, 2026-03-27 05:31:50.725000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  SINVALJUNIOR, -, 2026-03-27 05:36:22.532000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  LUCASANGELIM, -, 2026-03-27 05:37:14.154000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  LEONARDOSCIAMMARELLA, -, 2026-03-27 05:37:42.589000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  TBARBU, -, 2026-03-27 05:53:18.625000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  RHAYANSANTOS, -, 2026-03-27 05:56:17.946000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  JEANARAUJO, -, 2026-03-27 06:01:12.372000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  MATEUSSIQUEIRA, -, 2026-03-27 06:02:24.073000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  LEONARDOQUEIROZ, -, 2026-03-27 06:06:24.935000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  CARLOSALEXANDRE, -, 2026-03-27 06:07:11.701000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  MAYKONNGOMES, -, 2026-03-27 06:07:46.982000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  RHAYANSANTOS, -, 2026-03-27 06:07:50.653000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  MARCELOSANTOS, -, 2026-03-27 06:08:07.738000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  RICARDOAMOEDO, -, 2026-03-27 06:08:23.695000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
  GEOVANESILVA, -, 2026-03-27 06:08:56.050000, LOGIN, odrl-odn2-sv013.foresea.com, 10.118.6.45
