IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  MARCUSSANTOS, -, 0, 1, 0
  EMANUELSILVA, -, 0, 1, 0
  LUCASCRISPIM, -, 0, 1, 0
  RAFAELPASCOAL, -, 0, 1, 0
  PABLOLOPES, -, 0, 1, 0
  VCARVALHO, -, 0, 1, 1
  ITEAM, -, 0, 1, 0
  DOUGLASDASILVAFERREIRA, -, 0, 1, 0
  ALAN, -, 0, 1, 0
  OACFRANCA, -, 0, 1, 0
  ANDERSONROBERTO, -, 0, 1, 0
  ANDREJKUEHN, -, 0, 1, 0
  ITEAM, -, 0, 1, 0
  MAUROCUNHA, -, 0, 1, 0
  ITEAM, -, 0, 1, 0
  PAULOCEZAR, -, 0, 1, 1
  ADEMILTONSILVA, -, 0, 1, 0
  WESLEYNOGUEIRA, -, 0, 1, 0
  WESLEYSANTOS, -, 0, 1, 0
  VICTORCOSTA, -, 0, 1, 1
  RODRIGOBINDONEPINTOSEARA, -, 0, 1, 0
  PEDROPASSALINI, -, 0, 1, 0
  SORAYAMARTINS, -, 0, 1, 1
  OTAVIOJUNIOR, -, 0, 1, 0
  BARRETOEUSTAQUIO, -, 0, 1, 0
  LEANDROMENDES, -, 0, 1, 0
  GREGORYMATOS, -, 0, 1, 0
  EWERTONCAMACHO, -, 0, 1, 0
  GERILSONMOREIRA, -, 0, 1, 0
  ITEAM, -, 0, 1, 0
  JEFERSONINACIO, -, 0, 1, 0
  MAIKONGONCALVES, -, 0, 1, 0
  VINICIUSCURITIBAC, -, 0, 1, 0
  ARTURPRASERES, -, 0, 1, 0
  THIAGOMARTINS, -, 0, 1, 0
